iter	Passed	Remaining
850	11358	1988
851	11371	1975
852	11383	1961
853	11397	1948
854	11410	1935
855	11423	1921
856	11436	1908
857	11449	1894
858	11462	1881
859	11474	1867
860	11488	1854
861	11501	1841
862	11514	1827
863	11527	1814
864	11541	1801
865	11555	1788
866	11568	1774
867	11581	1761
868	11594	1747
869	11607	1734
870	11620	1721
871	11633	1707
872	11646	1694
873	11657	1680
874	11670	1667
875	11683	1653
876	11696	1640
877	11708	1626
878	11721	1613
879	11735	1600
880	11749	1587
881	11763	1573
882	11776	1560
883	11790	1547
884	11803	1533
885	11816	1520
886	11831	1507
887	11845	1494
888	11859	1480
889	11874	1467
890	11887	1454
891	11903	1441
892	11919	1428
893	11932	1414
894	11946	1401
895	11959	1388
896	11973	1374
897	11987	1361
898	12000	1348
899	12013	1334
900	12025	1321
901	12040	1308
902	12055	1294
903	12067	1281
904	12080	1268
905	12093	1254
906	12108	1241
907	12121	1228
908	12134	1214
909	12148	1201
910	12160	1188
911	12174	1174
912	12187	1161
913	12201	1148
914	12215	1134
915	12229	1121
916	12244	1108
917	12259	1095
918	12272	1081
919	12286	1068
920	12300	1055
921	12315	1041
922	12330	1028
923	12343	1015
924	12356	1001
925	12372	988
926	12384	975
927	12398	961
928	12412	948
929	12426	935
930	12438	921
931	12452	908
932	12466	895
933	12479	881
934	12494	868
935	12508	855
936	12521	841
937	12533	828
938	12548	815
939	12560	801
940	12574	788
941	12588	775
942	12600	761
943	12613	748
944	12627	734
945	12639	721
946	12652	708
947	12664	694
948	12677	681
949	12690	667
950	12703	654
951	12716	641
952	12729	627
953	12741	614
954	12755	601
955	12768	587
956	12782	574
957	12794	560
958	12808	547
959	12821	534
960	12834	520
961	12847	507
962	12860	494
963	12876	480
964	12889	467
965	12902	454
966	12915	440
967	12930	427
968	12942	414
969	12955	400
970	12967	387
971	12981	373
972	12995	360
973	13008	347
974	13021	333
975	13034	320
976	13048	307
977	13062	293
978	13075	280
979	13088	267
980	13101	253
981	13115	240
982	13129	227
983	13143	213
984	13155	200
985	13168	186
986	13182	173
987	13195	160
988	13208	146
989	13221	133
990	13234	120
991	13247	106
992	13259	93
993	13272	80
994	13287	66
995	13299	53
996	13312	40
997	13326	26
998	13339	13
999	13352	0
